Continent,Country,total_cases,Deaths,Population,gdp_per_capita
Asia,Afghanistan,154757,7199,39835428,1803.987
Europe,Albania,165096,2601,2872934,11803.431
Africa,Algeria,202122,5739,44616626,13913.839
Europe,Andorra,15153,130,77354,
Africa,Angola,53387,1434,33933611,5819.495
North America,Anguilla,,,15125,
North America,Antigua and Barbuda,2625,57,98728,21490.943
South America,Argentina,5245265,114684,45605823,18933.907
Asia,Armenia,254709,5181,2968128,8787.58
North America,Aruba,,,107195,35973.781
Oceania,Australia,92178,1196,25788217,44648.71
Europe,Austria,728696,10933,9043072,45436.686
Asia,Azerbaijan,476409,6370,10223344,15847.419
North America,Bahamas,20288,512,396914,27717.847
Asia,Bahrain,274524,1388,1748295,43290.705
Asia,Bangladesh,1547176,27313,166303494,3523.984
North America,Barbados,6904,62,287708,16978.068
Europe,Belarus,522275,4041,9442867,17167.967
Europe,Belgium,1229236,25533,11632334,42658.576
North America,Belize,19185,397,404915,7824.362
Africa,Benin,21450,146,12451031,2064.236
North America,Bermuda,,,62092,50669.315
Asia,Bhutan,2599,3,779900,8708.597
South America,Bolivia,497984,18681,11832936,6885.829
Europe,Bosnia and Herzegovina,229360,10353,3263459,11713.895
Africa,Botswana,173788,2354,2397240,15807.374
South America,Brazil,21283567,592316,213993441,14103.452
North America,British Virgin Islands,,,30423,
Asia,Brunei,5586,31,441532,71809.251
Europe,Bulgaria,487588,20251,6896655,18563.307
Africa,Burkina Faso,14076,176,21497097,1703.102
Africa,Burundi,16356,38,12255429,702.225
Asia,Cambodia,105981,2154,16946446,3645.07
Africa,Cameroon,85414,1368,27224262,3364.926
North America,Canada,1597789,27590,38067913,44017.591
Africa,Cape Verde,37240,332,561901,6222.554
North America,Cayman Islands,,,66498,49903.029
Africa,Central African Republic,11340,100,4919987,661.24
Africa,Chad,5030,174,16914985,1768.153
South America,Chile,1648550,37379,19212362,22767.037
Asia,China,95957,4636,1444216102,15308.712
South America,Colombia,4945203,126006,51265841,13254.949
Africa,Comoros,4110,147,888456,1413.89
Africa,Congo,14014,191,5657017,4881.406
Oceania,Cook Islands,,,17572,
North America,Costa Rica,515931,6128,5139053,15524.995
Africa,Cote d'Ivoire,59408,583,27053629,3601.006
Europe,Croatia,395097,8539,4081657,22669.797
North America,Cuba,825351,6978,11317498,
North America,Curacao,,,164796,
Europe,Cyprus,119230,548,896005,32415.132
Europe,Czechia,1687448,30446,10724553,32605.906
Africa,Democratic Republic of Congo,56463,1068,92377986,808.133
Europe,Denmark,357209,2636,5813302,46682.515
Africa,Djibouti,12207,159,1002197,2705.406
North America,Dominica,3134,11,72172,9673.367
North America,Dominican Republic,356042,4031,10953714,14600.861
South America,Ecuador,507020,32666,17888474,10581.936
Africa,Egypt,298988,17043,104258327,10550.206
North America,El Salvador,102024,3138,6518500,7292.458
Africa,Equatorial Guinea,11544,140,1449891,22604.873
Africa,Eritrea,6680,41,3601462,1510.459
Europe,Estonia,151292,1335,1325188,29481.252
Africa,Eswatini,45578,1204,1172369,7738.975
Africa,Ethiopia,336762,5254,117876226,1729.927
Europe,Faeroe Islands,,,49053,
Oceania,Fiji,50270,579,902899,8702.975
Europe,Finland,137594,1062,5548361,40585.721
Europe,France,7061323,116981,67564251,38605.671
Oceania,French Polynesia,,,282534,
Africa,Gabon,28726,178,2278829,16562.413
Africa,Gambia,9900,334,2486937,1561.767
Asia,Georgia,600412,8664,3979773,9745.079
Europe,Germany,4173357,93243,83900471,45229.245
Africa,Ghana,125830,1130,31732128,4227.63
Europe,Gibraltar,,,33691,
Europe,Greece,638921,14575,10370747,24574.382
North America,Greenland,,,56868,
North America,Grenada,4356,75,113015,13593.877
North America,Guatemala,537987,13185,18249868,7423.808
Europe,Guernsey,,,67052,
Africa,Guinea,30303,375,13497237,1998.926
Africa,Guinea-Bissau,6093,133,2015490,1548.675
South America,Guyana,30186,740,790329,7435.047
North America,Haiti,21431,605,11541683,1653.173
North America,Honduras,361527,9627,10062994,4541.795
Asia,Hong Kong,12167,213,7552800,56054.92
Europe,Hungary,819021,30143,9634162,26777.561
Europe,Iceland,11558,33,343360,46482.958
Asia,India,33563421,446050,1393409033,6426.674
Asia,Indonesia,4198678,140954,276361788,11188.744
Asia,Iran,5477229,118191,85028760,19082.62
Asia,Iraq,1984399,21949,41179351,15663.986
Europe,Ireland,379366,5209,4982904,67335.293
Europe,Isle of Man,,,85410,
Asia,Israel,1247633,7592,8789776,33132.32
Europe,Italy,4645853,130488,60367471,35220.084
North America,Jamaica,80959,1803,2973462,8193.571
Asia,Japan,1685325,17348,126050796,39002.223
Europe,Jersey,,,101073,
Asia,Jordan,816574,10637,10269022,8337.49
Asia,Kazakhstan,944733,15503,18994958,24055.588
Africa,Kenya,247358,5018,54985702,2993.028
Oceania,Kiribati,2,,121388,1981.132
Europe,Kosovo,159488,2917,1775378,9795.834
Asia,Kuwait,411316,2442,4328553,65530.537
Asia,Kyrgyzstan,177941,2595,6628347,3393.474
Asia,Laos,19952,16,7379358,6397.36
Europe,Latvia,151917,2665,1866934,25063.846
Asia,Lebanon,619950,8253,6769151,13367.565
Africa,Lesotho,14395,403,2159067,2851.153
Africa,Liberia,5915,283,5180208,752.788
Africa,Libya,334049,4560,6958538,17881.509
Europe,Liechtenstein,3429,60,38254,
Europe,Lithuania,319281,4849,2689862,29524.265
Europe,Luxembourg,77552,835,634814,94277.965
Asia,Macao,,,658391,104861.851
Africa,Madagascar,42898,958,28427333,1416.44
Africa,Malawi,61433,2268,19647681,1095.042
Asia,Malaysia,2142924,24565,32776195,26808.164
Asia,Maldives,84017,229,543620,15183.616
Africa,Mali,15103,547,20855724,2014.306
Europe,Malta,37036,456,514564,36513.323
Oceania,Marshall Islands,4,,59618,3819.202
Africa,Mauritania,35661,768,4775110,3597.633
Africa,Mauritius,14863,60,1273428,20292.745
North America,Mexico,3597168,273391,130262220,17336.469
Oceania,Micronesia (country),1,,116255,3299.464
Europe,Moldova,285321,6632,4024025,5189.972
Europe,Monaco,3299,33,39520,
Asia,Mongolia,287317,1159,3329282,11840.846
Europe,Montenegro,127894,1874,628051,16409.288
North America,Montserrat,,,4981,
Africa,Morocco,923924,14040,37344787,7485.013
Africa,Mozambique,150280,1906,32163045,1136.103
Asia,Myanmar,451663,17266,54806014,5591.597
Africa,Namibia,127035,3478,2587344,9541.808
Asia,Nepal,787828,11059,29674920,2442.804
Europe,Netherlands,2027475,18528,17173094,48472.545
Oceania,New Caledonia,,,288217,
Oceania,New Zealand,4136,27,4860642,36085.843
North America,Nicaragua,13730,203,6702379,5321.444
Africa,Niger,5967,201,25130810,926
Africa,Nigeria,203081,2666,211400704,5338.454
Europe,North Macedonia,188113,6511,2082661,13111.214
Asia,Northern Cyprus,,,,
Europe,Norway,184609,850,5465629,64800.057
Asia,Oman,303512,4093,5223376,37960.709
Asia,Pakistan,1232595,27432,225199929,5034.708
Oceania,Palau,5,,18174,13240.405
Asia,Palestine,390369,3968,5222756,4449.898
North America,Panama,465147,7183,4381583,22267.037
Oceania,Papua New Guinea,19182,217,9119005,3823.194
South America,Paraguay,459720,16138,7219641,8827.01
South America,Peru,2169427,199108,33359415,12236.706
Asia,Philippines,2417419,37228,111046910,7599.188
Europe,Poland,2899888,75523,37797000,27216.445
Europe,Portugal,1063991,17933,10167923,27936.896
Asia,Qatar,235907,604,2930524,116935.6
Europe,Romania,1165886,35851,19127772,23313.199
Europe,Russia,7227549,197032,145912022,24765.954
Africa,Rwanda,96023,1226,13276517,1854.211
North America,Saint Kitts and Nevis,1718,10,53546,24654.385
North America,Saint Lucia,10727,168,184401,12951.839
North America,Saint Vincent and the Grenadines,2964,17,111269,10727.146
Oceania,Samoa,3,,200144,6021.557
Europe,San Marino,5423,90,34010,56861.47
Africa,Sao Tome and Principe,3192,46,223364,3052.714
Asia,Saudi Arabia,546735,8679,35340680,49045.411
Africa,Senegal,73692,1849,17196308,2470.58
Europe,Serbia,886543,7885,6908224,14048.881
Africa,Seychelles,21180,110,98910,26382.287
Africa,Sierra Leone,6393,121,8141343,1390.3
Asia,Singapore,81356,68,5896684,85535.383
North America,Sint Maarten (Dutch part),,,43421,36327.232
Europe,Slovakia,404982,12589,5460726,30155.152
Europe,Slovenia,286267,4516,2078723,31400.84
Oceania,Solomon Islands,20,,703995,2205.923
Africa,Somalia,19235,1079,16359500,
Africa,South Africa,2889298,86500,60041996,12294.876
Asia,South Korea,292699,2427,51305184,35938.374
Africa,South Sudan,11861,121,11381377,1569.888
Europe,Spain,4940824,86085,46745211,34272.36
Asia,Sri Lanka,508672,12376,21497306,11669.077
Africa,Sudan,38050,2881,44909351,4466.507
South America,Suriname,38769,825,591798,13767.119
Europe,Sweden,1147879,14809,10160159,46949.283
Europe,Switzerland,830251,11027,8715494,57410.166
Asia,Syria,31426,2158,18275704,
Asia,Taiwan,16159,841,23855008,
Asia,Tajikistan,17484,125,9749625,2896.913
Africa,Tanzania,1367,50,61498438,2683.304
Asia,Thailand,1511357,15753,69950844,16277.671
Asia,Timor,19206,108,1343875,6570.102
Africa,Togo,24902,216,8478242,1429.813
Oceania,Tonga,,,106759,5425.621
North America,Trinidad and Tobago,49111,1432,1403374,28763.071
Africa,Tunisia,702503,24654,11935764,10849.297
Asia,Turkey,6932423,62307,85042736,25129.341
Africa,Uganda,122502,3135,47123533,1697.707
Europe,Ukraine,2468567,58754,43466822,7894.393
Asia,United Arab Emirates,733643,2080,9991083,67293.483
Europe,United Kingdom,7565751,135961,68207114,39753.244
North America,United States,42550081,681956,332915074,54225.446
South America,Uruguay,388068,6049,3485152,20551.409
Asia,Uzbekistan,169989,1203,33935765,6253.104
Oceania,Vanuatu,4,1,314464,2921.909
Europe,Vatican,27,,812,
South America,Venezuela,358462,4346,28704947,16745.022
Asia,Vietnam,718963,17781,98168829,6171.884
Oceania,Wallis and Futuna,,,11094,
Asia,Yemen,8789,1658,30490639,1479.147
Africa,Zambia,208676,3639,18920657,3689.251
Africa,Zimbabwe,128804,4592,15092171,1899.775
